match_id,Referee,Stadium,Home team,Away team
2019233,Mahmoud Bassiouni,Petrosport Stadium,Enppi SC,Wadi Degla
2019234,Amin Omar,Cairo International Stadium,Zamalek,Entag El Harby
2019235,Mohamed Adel,El Shorta Stadium,Aswan SC,Tanta SC
2019236,Ibrahim Nour Eldin,Borg El Arab Stadium,Ittihad Alex,Ahly SC
2019237,Ahmed Gamal,Arab Contractors Stadium,El Makasa,FC Masr
2019238,Mohamed Maarouf,Ismailia Stadium,Ismaily,El Mokawloon
2019239,Tarek Magdi,Khaled Bichara Stadium,El Gouna,Smouha
2019240,Ahmed El Ghandour,Petrosport Stadium,Wadi Degla,Pyramids FC
2019241,Gehad Grisha,Borg El Arab Stadium,El Masry,Talaea El Gaish
2019242,Mahmoud Nagy,El Max,Harras Hodoud,Enppi SC
2019243,Hany Abdelfattah,Cairo International Stadium,Aswan SC,Zamalek
2019244,Walid Abdelrazak,Tanta Stadium,Tanta SC,FC Masr
2019245,Mohamed El Hanafy,Cairo International Stadium,Ahly SC,El Makasa
2019246,Mahmoud Bassiouni,El Salam Stadium,Entag El Harby,El Gouna
2019247,Mohamed Salama,Arab Contractors Stadium,El Mokawloon,Ittihad Alex
2019248,Mohamed Youssef,Petrosport Stadium,Enppi SC,Ismaily
2019249,Mohamed Adel,El Max,Smouha,El Masry
2019250,Amin Omar,Gehaz El Reyada Stadium,Talaea El Gaish,Wadi Degla
2019251,Mahmoud El Banna,30 June Stadium,Pyramids FC,Harras Hodoud
2019252,Ahmed El Adawi,Cairo International Stadium,Zamalek,Tanta SC
2019253,Mahmoud Bassiouni,Cairo Military Academy Stadium,FC Masr,Ahly SC
2019254,Mohamed Youssef,Petrosport Stadium,Wadi Degla,Smouha
2019255,Mahmoud Nagy,Borg El Arab Stadium,El Masry,Entag El Harby
2019256,Amin Omar,Khaled Bichara Stadium,El Gouna,Aswan SC
2019257,Mohamed Adel,Ismailia Stadium,Ismaily,Pyramids FC
2019258,Tarek Magdi,El Max,Harras Hodoud,Talaea El Gaish
2019259,Abdelaziz El Sayed,Arab Contractors Stadium,El Makasa,El Mokawloon
2019260,Mohamed El Sabahi,Alexandria Stadium,Ittihad Alex,Enppi SC
2019261,Ahmed Hamdi,El Salam Stadium,Tanta SC,Ahly SC
2019262,Ahmed El Ghandour,Cairo International Stadium,Zamalek,El Gouna
2019263,Mohamed El Sabahi,El Max,Smouha,Harras Hodoud
2019264,Mohamed El Hanafy,Gehaz El Reyada Stadium,Talaea El Gaish,Ismaily
2019265,Ibrahim Nour Eldin,El Salam Stadium,Entag El Harby,Wadi Degla
2019266,Mahmoud El Banna,Borg El Arab Stadium,Aswan SC,El Masry
2019267,Said Hamza,Arab Contractors Stadium,El Mokawloon,FC Masr
2019268,Mahmoud Ashour,Petrosport Stadium,Enppi SC,El Makasa
2019269,Gehad Grisha,30 June Stadium,Pyramids FC,Ittihad Alex
2019270,Mohamed Maarouf,Khaled Bichara Stadium,El Gouna,Tanta SC
2019271,Amin Omar,Borg El Arab Stadium,El Masry,Zamalek
2019272,Mohamed El Hanafy,El Max,Harras Hodoud,Entag El Harby
2019273,Mahmoud Nagy,Ismailia Stadium,Ismaily,Smouha
2019274,Walid Abdelrazak,Cairo Military Academy Stadium,FC Masr,Enppi SC
2019275,Mohamed Adel,Petrosport Stadium,Wadi Degla,Aswan SC
2019276,Mohamed Salama,Arab Contractors Stadium,El Makasa,Pyramids FC
2019277,Ibrahim Nour Eldin,Borg El Arab Stadium,Ittihad Alex,Talaea El Gaish
2019278,Gehad Grisha,Cairo International Stadium,Ahly SC,El Mokawloon
2019279,Mahmoud Ashour,Borg El Arab Stadium,El Gouna,El Masry
2019280,Mohamed Maarouf,El Salam Stadium,Entag El Harby,Ismaily
2019281,Ahmed El Adawi,30 June Stadium,Pyramids FC,FC Masr
2019282,Mohamed Youssef,Petrosport Stadium,Enppi SC,Ahly SC
2019283,Ahmed El Ghandour,Aswan Stadium,Aswan SC,Harras Hodoud
2019284,Mohamed El Sabahi,Cairo International Stadium,Zamalek,Wadi Degla
2019285,Said Hamza,Tanta Stadium,Tanta SC,El Mokawloon
2019286,Abdelaziz El Sayed,Borg El Arab Stadium,Smouha,Ittihad Alex
2019287,Tarek Magdi,Gehaz El Reyada Stadium,Talaea El Gaish,El Makasa
2019288,Mahmoud El Banna,Cairo International Stadium,Ahly SC,Pyramids FC
2019289,Mahmoud Nagy,El Max,Harras Hodoud,Zamalek
2019290,Mohamed El Hanafy,El Salam Stadium,Wadi Degla,El Gouna
2019291,Ahmed Gamal,Ismailia Stadium,Ismaily,Aswan SC
2019292,Abdelaziz El Sayed,Arab Contractors Stadium,El Mokawloon,Enppi SC
2019293,Walid Abdelrazak,Fayoum Stadium,El Makasa,Smouha
2019294,Ahmed El Adawi,Alexandria Stadium,Ittihad Alex,Entag El Harby
2019295,Mohamed El Sabahi,Tanta Stadium,Tanta SC,El Masry
2019296,Mohamed Salama,Cairo Military Academy Stadium,FC Masr,Talaea El Gaish
2019297,Mahmoud El Banna,Cairo International Stadium,Zamalek,Ismaily
2019298,Tarek Magdi,Aswan Stadium,Aswan SC,Ittihad Alex
2019299,Said Hamza,El Salam Stadium,Entag El Harby,El Makasa
2019300,Mahmoud Bassiouni,Petrosport Stadium,Enppi SC,Tanta SC
2019301,Mohamed Youssef,Khaled Bichara Stadium,El Gouna,Harras Hodoud
2019302,Ibrahim Nour Eldin,Borg El Arab Stadium,El Masry,Wadi Degla
2019303,Abdelaziz El Sayed,El Max,Smouha,FC Masr
2019304,Gehad Grisha,30 June Stadium,Pyramids FC,El Mokawloon
2019305,Amin Omar,El Salam Stadium,Talaea El Gaish,Ahly SC
